age ,utility_pop_norms
18,0.922
19,0.922
20,0.922
21,0.922
22,0.922
23,0.922
24,0.922
25,0.914
26,0.914
27,0.914
28,0.914
29,0.914
30,0.914
31,0.914
32,0.914
33,0.914
34,0.914
35,0.888
36,0.888
37,0.888
38,0.888
39,0.888
40,0.888
41,0.888
42,0.888
43,0.888
44,0.888
45,0.854
46,0.854
47,0.854
48,0.854
49,0.854
50,0.854
51,0.854
52,0.854
53,0.854
54,0.854
55,0.814
56,0.814
57,0.814
58,0.814
59,0.814
60,0.814
61,0.814
62,0.814
63,0.814
64,0.814
65,0.775
66,0.775
67,0.775
68,0.775
69,0.775
70,0.775
71,0.775
72,0.775
73,0.775
74,0.775
75,0.706
76,0.706
77,0.706
78,0.706
79,0.706
80,0.706
81,0.706
82,0.706
83,0.706
84,0.706
85,0.706
86,0.706
87,0.706
88,0.706
89,0.706
90,0.706
91,0.706
92,0.706
93,0.706
94,0.706
95,0.706
96,0.706
97,0.706
98,0.706
99,0.706
100,0.706
