agegroup,sex,smok_status,mean.rr,ci.rr
30-34,1,3,5.51,12.25
35-39,1,3,2.26,6.14
40-44,1,3,1.25,1.32
45-49,1,3,1.2,1.34
50-54,1,3,5.51,12.25
55-59,1,3,2.26,6.14
60-64,1,3,1.25,1.32
65-69,1,3,1.2,1.34
70-74,1,3,5.51,12.25
75-79,1,3,2.26,6.14
80-84,1,3,1.25,1.32
30-34,2,3,1.2,1.34
35-39,2,3,3.04,3.48
40-44,2,3,3.78,4.62
45-49,2,3,1.25,1.32
50-54,2,3,1.2,1.34
55-59,2,3,3.04,3.48
60-64,2,3,3.78,4.62
65-69,2,3,1.25,1.32
70-74,2,3,1.2,1.34
75-79,2,3,3.04,3.48
80-84,2,3,3.78,4.62
30-34,1,4,1.25,1.32
35-39,1,4,1.2,1.34
40-44,1,4,1.88,2.08
45-49,1,4,2.53,2.87
50-54,1,4,1.25,1.32
55-59,1,4,1.2,1.34
60-64,1,4,1.88,2.08
65-69,1,4,2.53,2.87
70-74,1,4,1.25,1.32
75-79,1,4,1.2,1.34
80-84,1,4,1.2,1.34
30-34,2,4,1.44,1.63
35-39,2,4,1.68,1.93
40-44,2,4,1.25,1.32
45-49,2,4,1.2,1.34
50-54,2,4,1.44,1.63
55-59,2,4,1.68,1.93
60-64,2,4,1.25,1.32
65-69,2,4,1.2,1.34
70-74,2,4,1.38,1.77
75-79,2,4,1.25,1.32
80-84,2,4,1.2,1.34
